OBJECTID,School Name,District,School Type,Agency Type,Grade Range,Lowest Grade,Highest Grade,School Style,Charter?,Virtual?,CESA,District ID,School Code,DPI Unique Join Code,NCES Code,NCES District Code,NCES School Code,Full Address,Physical Street Address,City,State,ZIP Code,County of District Office,Locale Code,Locale,School Website,Wisconsin Assembly District,Wisconsin Senate District,US Congressional District,County (Physical),Latitude,Longitude,x,y
641,Friendship Learning Elementary,North Fond du Lac,Elementary School,Public school,KG-05,KG,05,Regular,No,No,6,3983,0055,S39830055,551074001398,5510740,01398,"1098 Prospect Ave  North Fond du Lac, WI 54937",1098 Prospect Ave,North Fond du Lac,WI,54937,Fond du Lac,23,Suburb - Small,https://www.nfdlschools.org,60,20,6,Fond du Lac,43.81593329,-88.48963134,641466.805,372537.8528
642,Friess Lake Elementary,Holy Hill Area,Elementary School,Public school,PK-04,K4,04,Regular,No,No,6,2570,0100,S25700100,550008003077,5500080,03077,"1750 State Road 164  Hubertus, WI 53033-9791",1750 State Road 164,Hubertus,WI,53033-9791,Washington,41,Rural - Fringe,https://hhasd.org,98,33,5,Washington,43.25321254,-88.26039705,661209.8902,310403.386299999
643,G D Jones Elementary,Wausau,Elementary School,Public school,PK-05,K4,05,Regular,No,No,9,6223,0080,S62230080,551590002049,5515900,02049,"1018 S 12th Ave  Wausau, WI 54401-5873",1018 S 12th Ave,Wausau,WI,54401-5873,Marathon,13,City - Small,https://www.wausauschools.org,85,29,7,Marathon,44.94941485,-89.65219602,547436.3837,497389.888
644,Gaenslen Elementary,Milwaukee,Elementary School,Public school,PK-08,K4,08,Regular,No,No,1,3619,0185,S36190185,550960001169,5509600,01169,"1250 E Burleigh St  Milwaukee, WI 53212-2217",1250 E Burleigh St,Milwaukee,WI,53212-2217,Milwaukee,11,City - Large,https://www.milwaukee.k12.wi.us,19,7,4,Milwaukee,43.07524215,-87.89499108,691368.9555,291320.8134
645,Galesville-Ettrick-Trempealeau High,Galesville-Ettrick-Trempealeau,High School,Public school,09-12,09,12,Regular,No,No,4,2009,0040,S20090040,550496000536,5504960,00536,"17511 N Main  Galesville, WI 54630",17511 N Main,Galesville,WI,54630,Trempealeau,42,Rural - Distant,https://hs.getschools.org/,94,32,3,Trempealeau,44.0927991,-91.34319935,412477.8498,403056.967700001
646,Galesville-Ettrick-Trempealeau Middle,Galesville-Ettrick-Trempealeau,Middle School,Public school,06-08,06,08,Regular,No,No,4,2009,0050,S20090050,550496000537,5504960,00537,"19650 Prairie Ridge Ln  Galesville, WI 54630",19650 Prairie Ridge Ln,Galesville,WI,54630,Trempealeau,42,Rural - Distant,https://ms.getschools.org/,94,32,3,Trempealeau,44.0976339,-91.34561832,412292.9898,403597.1346
647,Galesville Elementary,Galesville-Ettrick-Trempealeau,Elementary School,Public school,PK-05,K4,05,Regular,No,No,4,2009,0060,S20090060,550496000538,5504960,00538,"17151 French Rd  Galesville, WI 54630",17151 French Rd,Galesville,WI,54630,Trempealeau,42,Rural - Distant,https://ge.getschools.org/,94,32,3,Trempealeau,44.08613522,-91.3631033,410872.2889,402342.9944
648,Garden Prairie Intermediate School,Beloit Turner,Elementary School,Public school,02-05,02,05,Regular,No,No,2,0422,0110,S04220110,550108003144,5501080,03144,"3245 S Bartells Dr  Beloit, WI 53511",3245 S Bartells Dr,Beloit,WI,53511,Rock,41,Rural - Fringe,https://turnerschools.org,45,15,2,Rock,42.56274676,-89.02390308,600122.2072,232722.082599999
649,Garland Elementary,Milwaukee,Elementary School,Public school,PK-08,K4,08,Regular,No,No,1,3619,0191,S36190191,550960001172,5509600,01172,"3120 W Green Ave  Milwaukee, WI 53221-4178",3120 W Green Ave,Milwaukee,WI,53221-4178,Milwaukee,11,City - Large,https://www.milwaukee.k12.wi.us,21,7,4,Milwaukee,42.9399995,-87.95348393,686972.9813,276183.7676
650,Gaston Elementary,Beloit,Elementary School,Public school,PK-05,K4,05,Regular,No,No,2,0413,0110,S04130110,550105000141,5501050,00141,"1515 W Grand Ave  Beloit, WI 53511-5938",1515 W Grand Ave,Beloit,WI,53511-5938,Rock,13,City - Small,https://www.sdb.k12.wi.us/gaston,45,15,1,Rock,42.50206642,-89.05694316,597485.0933,225953.380899999
651,Gaylord A Nelson Educational Center,Clear Lake,Elementary School,Public school,PK-06,K4,06,Regular,No,No,11,1127,0020,S11270020,550261000291,5502610,00291,"135 8th Ave  Clear Lake, WI 54005-8522",135 8th Ave,Clear Lake,WI,54005-8522,Polk,43,Rural - Remote,https://www.clwarriors.org,75,25,7,Polk,45.24730301,-92.26866904,341965.3667,532926.961200001
